path,category,git_state,likely_role,risk_level,recommended_action,rationale
audit/.DS_Store,audit-artifact-binary,ignored,binary/support artifact in audit tree,medium,archive,"Non-runtime support file, archive outside active tree"
audit/booking-hint-desktop.png,audit-artifact-binary,untracked,binary/support artifact in audit tree,medium,archive,"Non-runtime support file, archive outside active tree"
audit/hero-after-closer-desktop-full.png,audit-artifact-binary,untracked,binary/support artifact in audit tree,medium,archive,"Non-runtime support file, archive outside active tree"
audit/hero-after-patch48-desktop-full.png,audit-artifact-binary,untracked,binary/support artifact in audit tree,medium,archive,"Non-runtime support file, archive outside active tree"
audit/hero-after-soft-overlap-desktop.png,audit-artifact-binary,untracked,binary/support artifact in audit tree,medium,archive,"Non-runtime support file, archive outside active tree"
audit/hero-before-patch48-desktop-full.png,audit-artifact-binary,untracked,binary/support artifact in audit tree,medium,archive,"Non-runtime support file, archive outside active tree"
audit/hero-before-patch48-desktop.png,audit-artifact-binary,untracked,binary/support artifact in audit tree,medium,archive,"Non-runtime support file, archive outside active tree"
audit/hero-booking-layer-fix-desktop.png,audit-artifact-binary,untracked,binary/support artifact in audit tree,medium,archive,"Non-runtime support file, archive outside active tree"
audit/old-site-2026-03-23/.DS_Store,audit-legacy-export,ignored,legacy audit export snapshot,medium,archive,Historical export; preserve outside active tree
audit/old-site-2026-03-23/aidacamp-home.html,audit-legacy-export,untracked,legacy audit export snapshot,medium,archive,Historical export; preserve outside active tree
audit/old-site-2026-03-23/assets_export/all_images/img_0001_tilda-fallback-1.0.min.js.bin,audit-legacy-export,untracked,legacy audit export snapshot,medium,archive,Historical export; preserve outside active tree
audit/old-site-2026-03-23/assets_export/all_images/img_0002_tilda-polyfill-1.0.min.js.bin,audit-legacy-export,untracked,legacy audit export snapshot,medium,archive,Historical export; preserve outside active tree
audit/old-site-2026-03-23/assets_export/all_images/img_0003_tilda-scripts-3.0.min.js.bin,audit-legacy-export,untracked,legacy audit export snapshot,medium,archive,Historical export; preserve outside active tree
audit/old-site-2026-03-23/assets_export/all_images/img_0004_tilda-blocks-page43860775.min.js.bin,audit-legacy-export,untracked,legacy audit export snapshot,medium,archive,Historical export; preserve outside active tree
audit/old-site-2026-03-23/assets_export/all_images/img_0005_tilda-lazyload-1.0.min.js.bin,audit-legacy-export,untracked,legacy audit export snapshot,medium,archive,Historical export; preserve outside active tree
audit/old-site-2026-03-23/assets_export/all_images/img_0006_tilda-animation-2.0.min.js.bin,audit-legacy-export,untracked,legacy audit export snapshot,medium,archive,Historical export; preserve outside active tree
audit/old-site-2026-03-23/assets_export/all_images/img_0007_tilda-menu-1.0.min.js.bin,audit-legacy-export,untracked,legacy audit export snapshot,medium,archive,Historical export; preserve outside active tree
audit/old-site-2026-03-23/assets_export/all_images/img_0008_tilda-cover-1.0.min.js.bin,audit-legacy-export,untracked,legacy audit export snapshot,medium,archive,Historical export; preserve outside active tree
audit/old-site-2026-03-23/assets_export/all_images/img_0009_tilda-cards-1.0.min.js.bin,audit-legacy-export,untracked,legacy audit export snapshot,medium,archive,Historical export; preserve outside active tree
